Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget
Night of the Living Dead,12000000,30000000,,114000
No Looking Back,143273,143273,,5000000
The Nun's Story,12800000,12800000,,3500000
A Nightmare on Elm Street,25504513,25504513,,1800000
A Nightmare On Elm Street Part 2: Freddy's Revenge,21163999,21163999,,3000000
A Nightmare On Elm Street 3: Dream Warriors,44793222,44793222,,5000000
A Nightmare On Elm Street: The Dream Child,22168359,22168359,,6000000
Freddy's Dead: The Final Nightmare,34872033,34872033,,5000000
Wes Craven's New Nightmare,18090181,18090181,,8000000
Night of the Living Dead,5835247,5835247,,4200000
Notorious,24464742,24464742,,2000000
Never Say Never Again,55500000,160000000,,36000000
The Nutcracker,2119994,2119994,,19000000
Nowhere to Run,22189039,52189039,,15000000
Interview with the Vampire: The Vampire Chronicles,105264608,223564608,,50000000
The Nutty Professor,128814019,273814019,,55000000
Die Unendliche Geschichte,21300000,21300000,,27000000
Interview with the Assassin,47329,47329,,750000
Nixon,13668249,34668249,,45000000
"New York, New York",13800000,13800000,,14000000
New York Stories,10763469,10763469,,15000000
Obitaemyy ostrov,0,15000000,,36500000
Octopussy,67900000,187500000,,27500000
On Deadly Ground,38590458,38590458,,50000000
One Flew Over the Cuckoo's Nest,108981275,108981275,,4400000
The Offspring,1355728,1355728,,1100000
On Her Majesty's Secret Service,22800000,82000000,,8000000
The Omen,48570885,48570885,,2800000
The Omega Code,12610552,12678312,,7200000
Out of Africa,79096868,258210860,,31000000
Out of the Dark,419428,419428,,1600000
Ordinary People,52302978,52302978,,6000000
The Other Side of Heaven,4720371,4720371,,7000000
On the Down Low,1987,1987,,10000
Othello,2844379,2844379,,11000000
On the Outs,49772,49772,,250000
On the Waterfront,9600000,9600000,,910000
Outbreak,67823573,67823573,,50000000
The Outsiders,25697647,25697647,,10000000
The Oxford Murders,3607,8667348,,10000000
Police Academy,81198894,81198894,,4500000
Police Academy 7: Mission to Moscow,126247,126247,,10000000
Paa,199228,9791282,,4300000
Pale Rider,41410568,41410568,,6900000
Patriot Games,83287363,178100000,,45000000
The Pallbearer,5656388,5656388,,8000000
Pocahontas,141579773,347100000,,55000000
Pocketful of Miracles,5000000,5000000,,2900000
PCU,4333569,4333569,,9000000
Pete's Dragon,36000000,36000000,,10000000
Pat Garrett and Billy the Kid,8000000,11000000,,4638783
Poltergeist,74706019,121706019,,10700000
Poltergeist III,14114000,14114000,,9500000
Phantasm II,7000000,7000000,,3000000
Phenomenon,104636382,142836382,,32000000
Philadelphia,77324422,201324422,,26000000
The Phantom,17220599,17220599,,45000000
Pi,3221152,4678513,,68000
Pink Flamingos,413802,413802,,12000
The Pirate,2956000,2956000,,3700000
The Planet of the Apes,33395426,33395426,,5800000
The Player,21706101,28876702,,8000000
Apollo 13,172070496,334100000,,65000000
Platoon,137963328,137963328,,6000000
Panic,779137,889279,,1000000
The Adventures of Pinocchio,15382170,36682170,,25000000
Pandora's Box,881950,881950,,800000
Pink Narcissus,8231,8231,,27000
Penitentiary,287000,287000,,100000
The Pursuit of D.B. Cooper,2104164,2104164,,12000000
Poetic Justice,27450453,27450453,,14000000
Porky's,109492484,109492484,,4000000
"Peace, Propaganda and the Promised Land",4930,4930,,70000
Popeye,49823037,49823037,,20000000
Predator 2,28317513,54768418,,35000000
Predator,59735548,98267558,,18000000
The Princess Bride,30857000,30857000,,15000000
Prison,354704,354704,,4000000
LÃon,19284974,45284974,,16000000
Prophecy,21000000,21000000,,12000000
The Prince of Tides,74787599,74787599,,30000000
Proud,0,0,,1000000
Pretty Woman,178406268,463400000,,14000000
Partition,0,0,,10000000
The Postman Always Rings Twice,12200000,44200000,,12000000
Peggy Sue Got Married,41382841,41382841,,18000000
Peter Pan,87400000,87400000,90536550,4000000
Pet Sematary,57469179,57469179,,11500000
Patton,62500000,62500000,,12000000
The Puffy Chair,194523,194523,,15000
Pulp Fiction,107928762,212928762,,8000000
Paint Your Wagon,31678778,31678778,,20000000
The Prisoner of Zenda,7000000,7000000,,12500000
The Perez Family,2794056,2794056,,11000000
Q,255000,255000,,1200000
The Quick and the Dead,18552460,18552460,,32000000
Quigley Down Under,21413105,21413105,,20000000
La Guerre du feu,20959585,20959585,,12500000
Quo Vadis?,30000000,30000000,,8250000
Rang De Basanti,2197694,29197694,,5300000
Robin and Marian,8000000,8000000,,5000000
Ransom,136492681,308700000,,70000000
Rosemary's Baby,33395426,33395426,,3200000
Rebecca,6000000,6000000,,1288000
Robin Hood: Prince of Thieves,165493908,390500000,,50000000
Rumble in the Bronx,32281907,36238752,,7500000
Rob Roy,31390587,31390587,,28000000
Raging Bull,23380203,23380203,,18000000
Richard III,2684904,4204857,,9200000
Raising Cain,21171695,21171695,,11000000
RoboCop,53424681,53424681,,13000000
RoboCop 3,10696210,10696210,,22000000
RiÂ¢hie RiÂ¢h,38087756,38087756,,40000000
Radio Days,14792779,14792779,,16000000
Radio Flyer,4651977,4651977,,35000000
Reservoir Dogs,2832029,2832029,18806836,1200000
Raiders of the Lost Ark,245034358,386800358,19608618,20000000
Red River,9012000,9012000,,3000000
Reds,50000000,50000000,,33500000
Le Violon rouge,10019109,10019109,,10000000
Red Sonja,6905861,6905861,,17900000
Star Wars Ep. VI: Return of the Jedi,309205079,572700000,12356425,32500000
The Return,501752,2658490,,15000000
The Rise and Fall of Miss Thang,401,401,,10000
Roger & Me,6706368,6706368,,140000
The Right Stuff,21500000,21500000,,27000000
The Rocky Horror Picture Show,139876417,139876417,,1200000
Road House,30050028,30050028,,10000000
Romeo Is Bleeding,3275585,3275585,,10000000
Rockaway,0,0,,2000000
Rocky,117235147,225000000,,1000000
Return of the Living Dead Part II,9205924,9205924,,6200000
The R.M.,1111615,1111615,,500000
Renaissance Man,24172899,24172899,,40000000
Rambo: First Blood Part II,150415432,300400000,,44000000
Rambo III,53715611,188715611,,58000000
Romeo+Juliet,46338728,147542381,,14500000
Ramanujan,0,0,,20000000
Rain Man,172825435,412800000,,25000000
Rapa Nui,305070,305070,,20000000
Roar,2000000,2000000,,17000000
The Robe,36000000,36000000,,5000000
The Rock,134069511,336069511,,75000000
The Remains of the Day,22954968,63954968,,15000000
Airplane!,83453539,83453539,,3500000
Repo Man,2300000,2300000,,1500000
Rocket Singh: Salesman of the Year,164649,5348767,,1070000
Raise the Titanic,7000000,7000000,,40000000
Restoration,4100000,4100000,,18000000
The Return of the Living Dead,14237880,14237880,,4000000
Rejsen til Saturn,0,2783634,,2700000
Return to the Land of Wonders,1338,1338,,5000
Return to Oz,10618813,10618813,,27000000
The Running Man,38122000,38122000,,30000000
Run Lola Run,7267324,14533173,,1750000
Revolution#9,9118,9118,,350000
The River Wild,46815000,94215000,,45000000
Se7en,100125643,328125643,,30000000
Safe Men,21210,21210,,1000000
Secrets & Lies,13417292,13417292,,4500000
Sgt. Bilko,30356589,37956589,,39000000
Sabrina,53458319,87100000,,58000000
Subway,390659,1663296,,2000000
School Daze,14545844,14545844,,6000000
Scarface,44942821,44942821,15386092,25000000
Schindler's List,96067179,321200000,,25000000
A Streetcar Named Desire,8000000,8000000,,1800000
Shadow Conspiracy,2154540,2154540,,45000000
Short Cut to Nirvana: Kumbh Mela,381225,439651,,200000
Spartacus,30000000,60000000,,12000000
Sunday,410919,450349,,450000
She Done Him Wrong,2000000,2000000,,200000
"Secret, The",0,0,65505095,3500000
Sea Rex 3D: Journey to a Prehistoric World,0,0,,5000000
State Fair,3500000,3500000,,4500000
Sticky Fingers of Time,18195,20628,,250000
Stargate - The Ark of Truth,0,0,8962832,7000000
She's Gotta Have It,7137502,7137502,,175000
Stargate,71565669,196565669,,55000000
The Shadow,31835600,31835600,,40000000
Show Boat,11000000,11000000,,2300000
Shadowlands,25842377,25842377,,22000000
Shanghai Surprise,2315000,2315000,,17000000
Shalako,2620000,2620000,,1455000
Sheena,5778353,5778353,,25000000
Shine,35811509,35811509,,5500000
The Shining,44017374,44017374,,19000000
Haakon Haakonsen,15024232,15024232,,8500000
Ishtar,14375181,14375181,,40000000
Showgirls,20254932,20254932,,40000000
The Shawshank Redemption,28241469,28241469,,25000000
Silver Bullet,10803211,10803211,,7000000
Side Effects,44701,44701,,200000
Set It Off,36049108,36049108,,9000000
The Silence of the Lambs,130726716,275726716,,20000000
Silver Medalist,0,0,,2600000
Silent Trigger,76382,76382,,15000000
Thinner,15171475,15171475,,14000000
Sling Blade,24475416,34175000,,4833610
Slacker,1227508,1227508,,23000
Some Like it Hot,25000000,25000000,,2883848
The Scarlet Letter,10359006,10359006,,50000000
Silmido,298347,30298347,,8500000
Sleeper,18344729,18344729,,2000000
Sleepers,53300852,165600852,,44000000
The Slaughter Rule,13134,13134,,500000
Solomon and Sheba,11000000,11000000,,5000000
Sur Le Seuil,2013052,2013052,,2500000
The Usual Suspects,23341568,23341568,,6000000
Silverado,33200000,33200000,,26000000
Salvador,1500000,1500000,,4500000
"Sex, Lies, and Videotape",24741667,36741667,,1200000
Show Me,0,0,,400000
Simon,4055,4055,,1300000
Super Mario Bros.,20844907,20844907,,42000000
Somewhere in Time,9709597,9709597,,5100000
Smoke Signals,6719300,7756617,,2000000
Serial Mom,7881335,7881335,,13000000
Sommersturm,95204,95204,,3000000
Silent Movie,36145695,36145695,,4400000
The Santa Clause,144833357,189800000,,22000000
The Singles Ward,1250798,1250798,,500000
Sense and Sensibility,42993774,134993774,,16500000
Singin' in the Rain,3600000,3600000,,2540000
Solitude,6260,6260,,200000
The Sound of Music,163214286,286214286,,8200000
She's the One,9482579,13795053,,3500000
Straight out of Brooklyn,2712293,2712293,,450000
Spaceballs,38119483,38119483,,22700000
Speed,121248145,283200000,,30000000
Species,60054449,113354449,,35000000
Sphinx,2000000,11400000,,10000000
Spaced Invaders,15000000,15000000,,3000000
Spellbound,7000000,7000000,,1500000
Splash,62599495,62599495,,8000000
Superman IV: The Quest for Peace,11227824,11227824,,17000000
Superman II,108185706,108185706,,50000000
Superman III,59950623,59950623,,39000000
Sparkler,5494,5494,,1000000
Superman,134218018,300200000,,55000000
The Specialist,57362581,57362581,,45000000
The Sorcerer,12000000,12000000,,21600000
Sisters in Law,33312,33312,,300000
Smilla's Sense of Snow,2221994,2221994,,35000000
Assassins,30306268,83306268,,50000000
Star Trek: The Motion Picture,82258456,139000000,,35000000
Star Trek III: The Search for Spock,76471046,87000000,,18000000
Star Trek IV: The Voyage Home,109713132,133000000,,24000000
Stand by Me,52287414,52287414,,8000000
Stone Cold,9286314,9286314,,25000000
The Stewardesses,13500000,25000000,,200000
Street Fighter,33423000,99423000,,35000000
Star Trek II: The Wrath of Khan,79912963,96800000,,12000000
Steal (Canadian Release),220944,220944,,15000000
The Sting,159616327,159616327,,5500000
Stonewall,304602,304602,,2000000
Star Trek V: The Final Frontier,52210049,70200000,,30000000
Star Trek VI: The Undiscovered Country,74888996,96900000,,27000000
Star Trek: Generations,75671262,120000000,,38000000
Stripes,85300000,85300000,,10000000
Striptease,32773011,32773011,,50000000
Star Wars Ep. IV: A New Hope,460998007,797900000,11182540,11000000
Saints and Soldiers,1310470,1310470,,780000
Steppin: The Movie,0,0,,1000000
Strangers on a Train,7000000,7000000,,1200000
Sugar Hill,18272447,18272447,,10000000
Stiff Upper Lips,69582,69582,,5700000
Shichinin no samurai,271736,271736,,500000
Sweet Charity,8000000,8000000,,20000000
Sands of Iwo Jima,7800000,7800000,,1000000
The Spy Who Loved Me,46800000,185400000,,14000000
The Swindle,245359,5045359,,10000000
Swingers,4505922,6542637,,200000
Snow White and the Seven Dwarfs,184925485,184925485,,1488000
The Sweet Hereafter,4306697,4306697,,5000000
She Wore a Yellow Ribbon,5400000,5400000,,1600000
Sex with Strangers,247740,247740,,1100000
Spy Hard,26936265,26936265,,18000000
Shi Yue Wei Cheng,0,44195779,,23000000
Tango,1687311,1687311,,4500000
The Age of Innocence,32014993,32014993,,34000000
Talk Radio,3468572,3468572,,4000000
The Texas Chainsaw Massacre,26572439,26572439,,140000
The Texas Chainsaw Massacre 2,8025872,8025872,,4700000
Timecop,44853581,102053581,,28000000
Tin Cup,53854588,75854588,,45000000
Torn Curtain,13000000,13000000,,3000000
To Die For,21284514,27688744,,20000000
Terror Train,8000000,8000000,,3500000
Teen Wolf Too,7888000,7888000,,3000000
The Fan,18582965,18582965,,55000000
Timber Falls,0,0,,2600000
Tae Guik Gi: The Brotherhood of War,1110186,69826708,,12500000
The Incredibly True Adventure of Two Girls in Love,2210408,2477155,,250000
There Goes My Baby,125169,125169,,10500000
Tank Girl,4064333,4064333,,25000000
Top Gun,176786701,353786701,,15000000
Thunderball,63600000,141200000,,9000000
The Calling,0,0,,2500000
The Craft,24769466,55669466,,15000000
It Happened One Night,2500000,2500000,,325000
The Net,50621733,110521733,,22000000
La otra conquista,886410,886410,,3500000
The Journey,19800,19800,,500000
They Live,13000000,13000000,,4000000
Tales from the Hood,11784569,11784569,,6000000
Time Bandits,37400000,37400000,,12000000
Tombstone,56505000,56505000,,25000000
Time Changer,1500711,1500711,,825000
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,78656813,78656813,,25000000
Teenage Mutant Ninja Turtles III,42273609,42273609,,21000000
Tango & Cash,63408614,63408614,,55000000
Teenage Mutant Ninja Turtles,135265915,202000000,,13500000
Topaz,6000000,6000000,,4000000
Taps,35856053,35856053,,14000000
Trainspotting,16501785,24000785,,3100000
The Train,6800000,6800000,,5800000
Troop Beverly Hills,7190505,7190505,,18000000
Trekkies,617172,617172,,375000
True Lies,146282411,365300000,,100000000
Terminator 2: Judgment Day,204859496,516816151,,100000000
Travellers and Magicians,506793,1058893,,1800000
The Terminator,38019031,78019031,,6400000
Tremors,16667084,16667084,,10000000
True Romance,12281000,12281000,,12500000
Tron,26918576,26918576,,17000000
Trapeze,14400000,14400000,,4000000
The Terrorist,195043,195043,,25000
Trois,1161843,1161843,,200000
Things to Do in Denver when You're Dead,529766,529766,,15000000
A Time to Kill,108766007,152266007,,40000000
Total Recall,119394839,261400000,,65000000
This Thing of Ours,37227,37227,,2000000
Tootsie,177200000,177200000,,15000000
That Thing You Do!,25857416,31748615,,2500000
The Trouble With Harry,7000000,7000000,,1200000
Twins,111936388,216600000,,15000000
Twister,241888385,495900000,,88000000
Towering Inferno,116000000,139700000,,14000000
Taxi Driver,21100000,21100000,,1000000
Tycoon,121016,121016,,5000000
Toy Story,191796233,361948825,,30000000
Twilight Zone: The Movie,29500000,29500000,,10000000
Unforgettable,2483790,2483790,,18000000
UHF,6157157,6157157,,5000000
Ulee's Gold,9054736,15600000,,2700000
Under Siege 2: Dark Territory,50024083,104324083,,60000000
The Untouchables,76270454,76270454,,25000000
Under the Rainbow,18826490,18826490,,20000000
Veer-Zaara,2938532,7017859,,7000000
Videodrome,2120439,2120439,,5952000
Les Visiteurs,659000,98754000,,7000000
"Couloirs du temps: Les visiteurs 2, Les",146072,26146072,,20000000
The Valley of Decision,9132000,9132000,,2160000
Vampire in Brooklyn,19637147,19637147,,14000000
The Verdict,53977250,53977250,,16000000
Virtuosity,23998226,23998226,,30000000
Everything Put Together,0,0,,500000
A View to a Kill,50327960,152627960,,30000000
The Work and the Glory: American Zion,2025032,2025032,,6500000
A Walk on the Moon,4741987,4741987,,14000000
The Work and the Glory,3347647,3347647,,7500000
The Work and the Story,16137,16137,,103000
What the #$'! Do We Know,10941801,10941801,,4000000
Waiting for Guffman,2922988,2922988,,4000000
Who Framed Roger Rabbit?,154112492,351500000,,70000000
White Fang,34729091,34729091,,14000000
White Squall,10229300,10229300,,38000000
What's Eating Gilbert Grape,9170214,9170214,,11000000
Witchboard,7369373,7369373,,2000000
The Wiz,13000000,13000000,,24000000
Walking and Talking,1287480,1615787,,1000000
The Wild Bunch,509424,509424,,6000000
Wall Street,43848100,43848100,,15000000
Waterloo,,,,25000000
The Wrong Man,2000000,2000000,,1200000
Woman Chaser,110719,110719,,150000
Wings,,,,2000000
We're No Angels,10555348,10555348,,20000000
Wolf,65011757,131011757,,70000000
Warriors of Virtue,6448817,6448817,,35000000
War Games,74433837,74433837,,12000000
Warlock,8824553,8824553,,7000000
War and Peace,12500000,12500000,,6000000
Warlock: The Armageddon,3902679,3902679,,3000000
Wasabi,81525,7000000,,15300000
West Side Story,43700000,43700000,,6000000
When The Cat's Away,1652472,2525984,,300000
Welcome to the Dollhouse,4198137,4726732,,800000
Witness,65532576,65532576,,12000000
Waterworld,88246220,264246220,,175000000
Willy Wonka & the Chocolate Factory,4000000,4000000,,3000000
Wayne's World,121697323,183097323,,20000000
Wyatt Earp,25052000,25052000,,63000000
The Wizard of Oz,28202232,28202232,,2777000
Executive Decision,56679192,122079192,,55000000
Exodus,21750000,21750000,,4000000
The Exorcist,204632868,402500000,,12000000
Extreme Measures,17378193,17378193,,38000000
You Can't Take It With You,4000000,4000000,,1644000
Eye for an Eye,26792700,26792700,,20000000
Young Guns,44726644,44726644,,13000000
Young Frankenstein,86300000,86300000,15500333,2800000
Yentl,39012241,39012241,,12000000
You Only Live Twice,43100000,111600000,,9500000
Ayurveda: Art of Being,16892,2066892,,300000
Young Sherlock Holmes,19739000,19739000,,18000000
102 Dalmatians,66941559,66941559,,85000000
Ten Things I Hate About You,38177966,38177966,,13000000
"10,000 B.C.",94784201,269065678,27044045,105000000
10th & Wolf,54702,54702,,8000000
11:14,0,0,,6000000
Cloverfield,80048433,170764033,29180398,25000000
12 Rounds,12234694,18184083,8283859,20000000
Thirteen Conversations About One Thing,3287435,3705923,,3000000
13 Going On 30,57139723,96439723,,30000000
Thirteen Ghosts,41867960,68467960,,19000000
1408,71985628,128529299,49668544,22500000
15 Minutes,24375436,56331864,,42000000
16 to Life,10744,10744,,1000000
16 Blocks,36895141,65595141,17523555,45000000
One Man's Hero,229311,229311,,18000000
First Daughter,9055010,10419084,,30000000
2012,166112167,766812167,50736023,200000000
2046,1442338,19202856,,12000000
20 Dates,541636,541636,,66000
21,81159365,157852532,25789928,35000000
21 Grams,16248701,60448701,,20000000
25th Hour,13084595,23928503,,4500000
28 Days,37035515,62063972,,43000000
28 Days Later...,45064915,82719885,,15000000
28 Weeks Later,28638916,64238440,24422887,15000000
Two Brothers,18947630,39925603,,72000000
Cop Out,44875481,44875481,11433110,37000000
Two Lovers,3149034,11549034,,12000000
2 For the Money,22991379,27848418,,20000000
Secondhand Lions,42023715,47855342,,30000000
Two Can Play That Game,22235901,22391450,,13000000
Two Weeks Notice,93354918,199043309,,60000000
300,210614939,456068181,261252400,60000000
30 Days of Night,39568996,75066323,26908243,30000000
Three Kings,60652036,107752036,,48000000
3000 Miles to Graceland,15738632,18708848,,62000000
3 Strikes,9821335,9821335,,4000000
3:10 to Yuma,53606916,69791889,51359371,48000000
40 Days and 40 Nights,37939782,95092667,,17000000
The 40 Year-old Virgin,109449237,177339049,,26000000
Four Brothers,74494381,92494381,,30000000
Four Christmases,120146040,163546040,26029004,80000000
The Four Feathers,18306166,29882645,,35000000
The Fourth Kind,26218170,41826604,6244985,10000000
"4 luni, 3 saptamani si 2 zile",1196321,4723542,,900000
50 First Dates,120776832,196376832,,75000000
Six-String Samurai,134624,134624,,2000000
The 6th Day,34543701,96024898,,82000000
Seven Pounds,69951824,166617328,27601737,54000000
88 Minutes,16930884,32955399,11385055,30000000
Eight Below,81612565,120612565,104578578,40000000
Eight Legged Freaks,17266505,17266505,,30000000
8 Mile,116724075,242924075,,41000000
8 femmes,3076425,42376425,,8000000
9,31749894,46603791,8655698,30000000
Nine Queens,1222889,12412889,,1500000
The Whole Ten Yards,16323969,26323969,,30000000
The Whole Nine Yards,57262492,85262492,,24000000
About a Boy,40803000,129949664,,27000000
A Bug's Life,162798565,363109485,,45000000
Abandon,10719367,12219367,,25000000
Absolute Power,50068310,50068310,,50000000
Tristram Shandy: A Cock and Bull Story,1253413,3061763,,4750000
Adoration,294244,294244,,4000000
Adaptation,22498520,22498520,,18500000
Anything Else,3203044,13203044,,18000000
Antwone Fisher,21078145,23367586,,12500000
Aeon Flux,25857987,47953341,21927972,55000000
After the Sunset,28328132,38329114,,57000000
A Good Year,7459300,42064105,7342760,35000000
Agora,599903,32912303,,70000000
Air Bud,24646936,27555061,,3000000
Air Force One,172956409,315268353,,85000000
Akeelah and the Bee,18848430,18948425,25684049,8000000
All the King's Men,7221458,9521458,,55000000
The Alamo,22406362,23911362,,92000000
All About the Benjamins,25482931,25873145,,14000000
Albino Alligator,353480,353480,,5000000
Sweet Home Alabama,127214072,163379330,,38000000
Fat Albert,48114556,48563556,,45000000
Alice in Wonderland,334191110,1023291110,70909558,200000000
Alfie,13395939,35195939,,40000000
It's All Gone Pete Tong,120620,1470620,,2000000
Ali,58183966,84383966,,109000000
Alien: Resurrection,47795018,160700000,,60000000
Alien,80930630,203630630,,9000000
A Lot Like Love,21835784,47835784,,25000000
All the Pretty Horses,15527125,18120267,,45000000
Almost Famous,32522352,47371191,,60000000
Evan Almighty,100289690,173219280,38038256,175000000
Bruce Almighty,242704995,485004995,,81000000
All or Nothing,184255,184255,,9000000
Alone in the Dark,5178569,8178569,,20000000
Alpha and Omega 3D,10115431,10115431,,20000000
Along Came a Spider,74058698,105159085,,28000000
The Dangerous Lives of Altar Boys,1779284,1779284,,12000000
Alatriste,0,22860477,,28000000
Alvin and the Chipmunks,217326974,360578644,137516182,55000000
Alex & Emma,14208384,15358583,,30000000
Alexander,34297191,167297191,,155000000
El Crimen de Padre,5719000,5719000,,1800000
American Beauty,130058047,356258047,,15000000
An American Carol,7013191,7013191,,20000000
American Dreamz,7314027,16510971,,17000000
Amelia,14246488,19722782,5763807,40000000
Le Fabuleux destin d'AmÃlie Poulain,33201661,174201661,,10350000
American History X,6719864,6719864,,10000000
American Gangster,130164645,265697825,72653959,100000000
An American Haunting,16298046,27844063,9905802,14000000
Amistad,44212592,44212592,,40000000
AimÃe & Jaguar,927107,927107,,6800000
Amores Perros,5383834,20883834,,2000000
American Pie 2,145096820,286500000,,30000000
American Wedding,104354205,126425115,,55000000
American Pie,101800948,234800000,,12000000
American Psycho,15070285,28674417,,8000000
American Splendor,6003587,7978681,,2000000
America's Sweethearts,93607673,157627733,,46000000
The Amityville Horror,65233369,108047131,,18500000
Anacondas: The Hunt for the Blood Orchid,31526393,70326393,,25000000
Anaconda,65598907,136998907,,45000000
Anastasia,58403409,139801410,,53000000
Anchorman: The Legend of Ron Burgundy,84136909,89366354,,25000000
Angels & Demons,133375846,485975846,32746864,150000000
Angela's Ashes,13038660,13038660,,25000000
Angel Eyes,24044532,24044532,,38000000
Anger Management,135560942,195660942,,56000000
A Night at the Roxbury,30331165,30331165,,17000000
The Animal,55762229,55762229,,22000000
Anna and the King,39251128,39251128,,75000000
Analyze That,32122249,54994757,,60000000
Analyze This,106885658,176885658,,30000000
The Ant Bully,28142535,55181129,28562108,45000000
Antitrust,10965209,10965209,,30000000
Marie Antoinette,15962471,60862471,16636006,40000000
Antz,90757863,152457863,,60000000
Anywhere But Here,18653615,18653615,,23000000
Appaloosa,20211394,26111394,10698987,20000000
Apocalypto,50866635,117785051,43318599,40000000
Pieces of April,2528664,3284124,,300000
The Apostle,20733485,21277770,,5000000
Aquamarine,18597342,22978953,29637202,17000000
Ararat,1693000,1693000,,15500000
Are We There Yet?,82674398,97918663,,20000000
Arlington Road,24419219,24419219,,21500000
Armageddon,201578182,554600000,,140000000
Hey Arnold! The Movie,13684949,13684949,,10000000
Against the Ropes,5881504,6429865,,39000000
King Arthur,51877963,203877963,,90000000
Arthur et les Minimoys,15132763,110102340,13012362,80000000
Artificial Intelligence: AI,78616689,235900000,,90000000
The Art of War,30199105,30199105,,40000000
Astro Boy,19551067,44093014,7166365,65000000
A Serious Man,9228788,30710147,3614635,7000000
The Astronaut Farmer,11003643,11003643,13774930,13000000
As Good as it Gets,148478011,314111923,,50000000
A Single Man,9176000,19112672,2010869,7000000
A Simple Plan,16316273,16316273,,17000000
Assault On Precinct 13,20040895,36040895,,30000000
The Astronaut's Wife,10672566,10672566,,34000000
The A-Team,77222099,176047914,,110000000
At First Sight,22365133,22365133,,40000000
Aqua Teen Hunger Force: The Movie,5520368,5520368,12134593,750000
ATL,21170563,21170563,29368071,17000000
Atlantis: The Lost Empire,84052762,186049020,,90000000
Hearts in Atlantis,24185781,30885781,,31000000
Autumn in New York,37752931,90717684,,40000000
Atonement,50980159,129425746,15678677,30000000
The Rules of Attraction,6525762,11799060,,4000000
August Rush,31664162,65627510,22082092,25000000
Across the Universe,24343673,29367143,25759408,45000000
Austin Powers: The Spy Who Shagged Me,206040085,309600000,,35000000
Austin Powers in Goldmember,213117789,292738626,,63000000
Austin Powers: International Man of Mystery,53883989,67683989,,18000000
Australia,49551662,207482792,28789275,78000000
Auto Focus,2062066,2703821,,7000000
Avatar,760167650,2767891499,146153933,237000000
The Avengers,23385416,48585416,,60000000
The Aviator,102608827,214608827,,110000000
AVP: Alien Vs. Predator,80281096,172543519,,70000000
Around the World in 80 Days,24004159,72004159,,110000000
Awake,14373825,30757745,13038208,8600000
And When Did You Last See Your Father?,1071240,2476491,,8000000
Away We Go,9451946,10108016,3788940,21000000
Don't Say a Word,54997476,104488383,,50000000
Babe: Pig in the City,18319860,69131860,,80000000
Babel,34302837,135302837,31459208,20000000
Babylon A.D.,22532572,70216497,16787309,45000000
My Baby's Daddy,17321573,17322212,,12000000
Super Babies: Baby Geniuses 2,9109322,9109322,,20000000
Baby Geniuses,27151490,27151490,,13000000
Bad Boys II,138540870,272940870,,130000000
Bad Company,30157016,69157016,,70000000
La mala educaciÃn,5211842,40311842,,5000000
Bad Lieutenant: Port of Call New Orleans,1702112,8162545,3902817,25000000
The Bad News Bears,32868349,33500620,,35000000
Burn After Reading,60355347,163415735,19163475,37000000
Bait,15325127,15471969,,35000000
Boys and Girls,21799652,21799652,,16000000
Black and White,5241315,5241315,,10000000
Bangkok Dangerous,15298133,46598133,15494886,45000000
The Banger Sisters,30306281,38067218,,10000000
Les invasions barbares,8460000,8460000,,5000000
Barney's Great Adventure,11156471,11156471,,15000000
Basic Instinct 2,5946136,35417162,6188980,70000000
Basic,26599248,42598498,,50000000
Batman Begins,205343774,372353017,,150000000
Battlefield Earth: A Saga of the Year 3000,21471685,29725663,,80000000
The Dark Knight,533345358,1022345358,234119058,185000000
Bats,10155691,10155691,,6500000
The Battle of Shaker Heights,280351,280351,,1000000
Baby Boy,28734552,28734552,,16000000
The Curious Case of Benjamin Button,127509326,329809326,42850598,160000000
Baby Mama,60494212,64391484,24304275,
Bless the Child,29374178,40435694,,40000000
The Bachelor,21731001,36882378,,21000000
The Broken Hearts Club: A Romantic Comedy,1744858,2022442,,1000000
Be Cool,55849401,94849401,,75000000
Big Daddy,163479795,234779795,,30000000
Bedazzled,37879996,90376224,,48000000
Body of Lies,39394666,108394666,22024703,67500000
Blood Diamond,57377916,171377916,62588936,100000000
Mr. Bean's Holiday,33302167,229736344,28248145,25000000
Beautiful,3134509,3134509,,9000000
Beavis and Butt-head Do America,63118386,63118386,,12000000
Bend it Like Beckham,32543449,76583333,,5000000
In the Bedroom,35930604,43430604,,1700000
Bee Movie,126631277,287594577,79628881,150000000
Artie Lange's Beer League,475000,475000,,2800000
Being John Malkovich,22858926,32382381,,13000000
Behind Enemy Lines,58855732,58855732,,40000000
Bella,8093373,9220041,5935632,3300000
Beloved,22852487,22852487,,53000000
Les Triplettes de Belleville,7301288,14440113,,2000000
Beyond the Mat,2047570,2047570,,500000
The Benchwarmers,59843754,64843754,32764806,35000000
The Last Airbender,131591957,290191957,,150000000
Beowulf,82195215,194995215,35961910,150000000
The Importance of Being Earnest,8378141,8378141,,15000000
Beauty Shop,36351350,38351350,,25000000
Better Luck Tomorrow,3802390,3809226,,250000
Big Fat Liar,47811275,52375275,,15000000
Big Fish,66432867,123432867,,70000000
Before Sunset,5792822,11293790,,2000000
