Title,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes
The Molly Maguires,1970-01-01,PG,,,,,,Martin Ritt,89,6.8,1304
Malevolence,10-Sep-04,R,,Painted Zebra Releasing,Original Screenplay,Horror,,,31,5,248
Mad Max 2: The Road Warrior,21-May-82,,,Warner Bros.,,Action,Science Fiction,George Miller,,,
It's a Mad Mad Mad Mad World,7-Nov-63,,,,,,,,,7.5,14460
Mad Max,21-Mar-80,,,,,Action,Science Fiction,George Miller,,6.9,36548
Mad Max Beyond Thunderdome,10-Jul-85,,,Warner Bros.,,Action,Science Fiction,George Miller,,5.9,24273
The Man From Snowy River,3-Nov-82,,,20th Century Fox,Original Screenplay,Drama,Historical Fiction,George Miller,80,7,3101
Men of War,19-Dec-95,,,,,,,,,5.2,1435
Monty Python and the Holy Grail,10-May-75,,,,,,,,,8.4,155049
Men with Brooms,8-Mar-02,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,63,5.8,2559
Mutiny on The Bounty,8-Nov-62,,,MGM,,,,,69,7.9,7608
Mommie Dearest,18-Sep-81,,,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,Frank Perry,57,6.3,4905
March or Die,5-Aug-77,,,Sony Pictures,,,,,,6.1,1233
Memoirs of an Invisible Man,28-Feb-92,,,Warner Bros.,Based on Book/Short Story,Comedy,Science Fiction,John Carpenter,24,5.8,8522
The Mongol King,2004-01-01,Not Rated,,,Original Screenplay,Drama,,,,,
My Own Private Idaho,29-Sep-91,,,Fine Line,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Gus Van Sant,84,7,17604
Moonraker,29-Jun-79,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,,64,6.1,26760
Money Train,22-Nov-95,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Joseph Ruben,17,5.2,13972
Metropolitan,3-Aug-90,,,,,,,Whit Stillman,88,7.2,3355
The Life of Brian,17-Aug-79,Not Rated,,Rainbow Releasing,Original Screenplay,Comedy,Historical Fiction,,,,
Mallrats,20-Oct-95,R,,Gramercy,Original Screenplay,Comedy,Contemporary Fiction,Kevin Smith,53,7.1,52807
American Desi,16-Mar-01,Not Rated,,Eros Entertainment,Original Screenplay,Romantic Comedy,Contemporary Fiction,,42,6.7,1047
Mrs. Winterbourne,19-Apr-96,PG-13,,Sony Pictures,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,Richard Benjamin,7,5.8,2987
Mrs. Doubtfire,24-Nov-93,PG-13,,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,Chris Columbus,64,6.6,56917
Mr. Smith Goes To Washington,1939-01-01,,,Sony/Columbia,Original Screenplay,Drama,,Frank Capra,97,8.2,33315
Mortal Kombat,18-Aug-95,PG-13,,New Line,Based on Game,Action,Fantasy,Paul Anderson,35,5.4,29605
Frankenstein,4-Nov-94,R,,Sony Pictures,Based on Book/Short Story,Horror,,Kenneth Branagh,,6.2,19913
The Misfits,1961-01-01,,,,,,,John Huston,100,7.4,6351
My Stepmother Is an Alien,9-Dec-88,,,Sony Pictures,Original Screenplay,Comedy,Science Fiction,Richard Benjamin,13,4.8,9073
The Man Who Shot Liberty Valance,1-Jan-62,,,,,,,John Ford,97,8.1,22681
Mission: Impossible,21-May-96,PG-13,110,Paramount Pictures,Based on TV,Action,Contemporary Fiction,Brian De Palma,,6.9,86222
Meteor,1979-01-01,,,,,,,Ronald Neame,9,4.7,2969
Multiplicity,17-Jul-96,PG-13,117,Sony Pictures,Based on Book/Short Story,Comedy,Science Fiction,Harold Ramis,44,5.7,11935
Mutual Appreciation,1-Sep-06,R,,Goodbye Cruel Releasing,Original Screenplay,Comedy,Contemporary Fiction,,,7,1102
The Muppet Christmas Carol,11-Dec-92,,,Walt Disney Pictures,Based on TV,Comedy,,,67,7.5,10853
The Man with the Golden Gun,20-Dec-74,,,MGM,Based on Book/Short Story,Action,,Guy Hamilton,52,6.7,22431
My Fair Lady,22-Oct-64,,,,Based on Musical/Opera,Musical,Historical Fiction,George Cukor,94,7.9,28039
Mystic Pizza,21-Oct-88,,,Samuel Goldwyn Films,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,82,5.9,8413
Namastey London,23-Mar-07,Not Rated,,Eros Entertainment,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,6.7,1511
Naturally Native,8-Oct-99,PG-13,,,,,,,,6.8,91
Inchon,17-Sep-82,,,MGM,Original Screenplay,Drama,Historical Fiction,,,3,326
Indiana Jones and the Temple of Doom,23-May-84,,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,85,7.5,110761
Indiana Jones and the Last Crusade,24-May-89,,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,89,8.3,171572
Neal n' Nikki,9-Dec-05,Not Rated,,Yash Raj Films,,Drama,,,,3.5,494
A Nightmare on Elm Street 4: The Dream Master,19-Aug-88,,,New Line,Original Screenplay,Horror,Fantasy,Renny Harlin,,5.2,13310
"Next Stop, Wonderland",21-Aug-98,R,,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Brad Anderson,,,
Nighthawks,10-Apr-81,,,Universal,Original Screenplay,Action,Contemporary Fiction,,71,6.3,5649
The English Patient,15-Nov-96,R,160,Miramax,Based on Book/Short Story,Drama,Historical Fiction,Anthony Minghella,83,7.3,54484
Niagara,21-Jan-53,,,20th Century Fox,,,,,,7,4698
The Naked Gun 2Î©: The Smell of Fear,28-Jun-91,,,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,David Zucker,,6.6,26384
Naked Gun 33 1/3: The Final Insult,18-Mar-94,PG-13,,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,Peter Segal,,6.1,24904
National Lampoon's Animal House,28-Jul-78,R,,Universal,,,,John Landis,90,,
Night of the Living Dead,1-Oct-68,Not Rated,,Walter Reade Organization,Original Screenplay,Horror,Science Fiction,,96,6.6,10083
No Looking Back,27-Mar-98,R,,Gramercy,,,,Edward Burns,38,5.7,1145
The Nun's Story,1959-01-01,,,,,,,Fred Zinnemann,93,7.5,3313
A Nightmare on Elm Street,9-Nov-84,,,New Line,Original Screenplay,Horror,Fantasy,Wes Craven,95,5.3,12554
A Nightmare On Elm Street Part 2: Freddy's Revenge,1-Nov-85,,,New Line,Original Screenplay,Horror,Fantasy,,,4.9,16222
A Nightmare On Elm Street 3: Dream Warriors,27-Feb-87,,,New Line,Original Screenplay,Horror,Fantasy,Chuck Russell,,6.2,17354
A Nightmare On Elm Street: The Dream Child,11-Aug-89,,,New Line,Original Screenplay,Horror,Fantasy,Stephen Hopkins,,4.7,10849
Freddy's Dead: The Final Nightmare,13-Sep-91,R,,New Line,Original Screenplay,Horror,Fantasy,,,4.5,12779
Wes Craven's New Nightmare,14-Oct-94,R,,New Line,Original Screenplay,Horror,Fantasy,Wes Craven,81,,
Night of the Living Dead,19-Oct-90,R,,Sony/Columbia,Remake,Horror,Fantasy,,67,6.6,10083
Notorious,1946-01-01,,,,,,,Alfred Hitchcock,97,6.3,9811
Never Say Never Again,7-Oct-83,,,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,,65,6,21247
The Nutcracker,1993-01-01,,,,,,,Emile Ardolino,50,5.2,561
Nowhere to Run,15-Jan-93,,,Sony/Columbia,Original Screenplay,Action,Contemporary Fiction,,26,5,6746
Interview with the Vampire: The Vampire Chronicles,11-Nov-94,R,,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Neil Jordan,,7.4,78953
The Nutty Professor,28-Jun-96,PG-13,95,Universal,Remake,Comedy,Kids Fiction,Tom Shadyac,67,5.6,32234
Die Unendliche Geschichte,20-Jul-84,,,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Wolfgang Petersen,,7.4,25704
Interview with the Assassin,15-Nov-02,R,,,,,,,67,6.6,1107
Nixon,20-Dec-95,R,,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,75,7.1,13761
"New York, New York",22-Jun-77,,,MGM,Original Screenplay,Musical,,Martin Scorsese,63,6.7,1692
New York Stories,1-Mar-89,,,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,74,6.1,6906
Obitaemyy ostrov,1-Jan-09,,,,Based on Book/Short Story,Action,Science Fiction,,,5.5,2229
Octopussy,10-Jun-83,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,47,6.6,23167
On Deadly Ground,18-Feb-94,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Steven Seagal,,3.8,9579
One Flew Over the Cuckoo's Nest,19-Nov-75,,,MGM,Based on Book/Short Story,,,Milos Forman,96,8.9,214457
The Offspring,4-Sep-87,,,Moviestore Entertainment,Original Screenplay,Horror,Contemporary Fiction,Jeff Burr,,5.6,424
On Her Majesty's Secret Service,18-Dec-69,,,MGM,Based on Book/Short Story,Action,,,81,6.9,23159
The Omen,25-Jun-76,,,20th Century Fox,Original Screenplay,Horror,,Richard Donner,84,5.4,24523
The Omega Code,15-Oct-99,PG-13,,Providence Entertainment,Original Screenplay,Action,Fantasy,,8,3.3,3814
Out of Africa,18-Dec-85,,,Universal,Based on Book/Short Story,Drama,Historical Fiction,Sydney Pollack,63,7,19638
Out of the Dark,11-Mar-89,,,New Line,,,,,,5.1,230
Ordinary People,19-Sep-80,,,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Robert Redford,91,7,138
The Other Side of Heaven,14-Dec-01,PG,,Excel Entertainment,Based on Book/Short Story,Drama,Dramatization,,,6.3,1670
On the Down Low,28-May-04,Not Rated,,Cinema Con Sabor,Original Screenplay,Drama,,,,6.3,113
Othello,14-Dec-95,R,,Sony Pictures,Based on Play,Drama,Historical Fiction,,68,6.9,4289
On the Outs,15-Jul-05,R,,Fader Films,,Drama,,,,6.5,445
On the Waterfront,28-Jul-54,,,,,,,Elia Kazan,100,8.4,41162
Outbreak,10-Mar-95,R,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Wolfgang Petersen,59,6.4,33192
The Outsiders,25-Mar-83,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Francis Ford Coppola,65,7,23607
The Oxford Murders,6-Aug-10,R,,Magnolia Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,10,6.1,8066
Police Academy,23-Mar-84,,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Hugh Wilson,47,6.3,23192
Police Academy 7: Mission to Moscow,26-Aug-94,PG,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,,,2.5,13121
Paa,4-Dec-09,,,Reliance Big Pictures,,,,,60,7.3,1059
Pale Rider,28-Jun-85,,,Warner Bros.,Original Screenplay,Western,Historical Fiction,Clint Eastwood,92,7.1,15352
Patriot Games,5-Jun-92,,,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,75,6.9,29544
The Pallbearer,3-May-96,PG-13,,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Matt Reeves,39,4.7,4166
Pocahontas,10-Jun-95,G,,Walt Disney Pictures,Based on Real Life Events,Adventure,Historical Fiction,,55,6,26690
Pocketful of Miracles,1961-01-01,,,,,,,Frank Capra,63,7.2,2365
PCU,29-Apr-94,PG-13,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,47,6,6967
Pete's Dragon,3-Nov-77,,,,,,,,50,6,4620
Pat Garrett and Billy the Kid,23-May-73,R,,,,,,Sam Peckinpah,,7.3,6374
Poltergeist,4-Jun-82,,,MGM,Original Screenplay,Horror,Fantasy,Tobe Hooper,86,7.4,32817
Poltergeist III,10-Jun-88,,,MGM,Original Screenplay,Horror,Fantasy,,14,3.8,5387
Phantasm II,8-Jul-88,,,Universal,,Horror,Fantasy,,29,6.3,3781
Phenomenon,5-Jul-96,PG,124,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Jon Turteltaub,50,6.3,26823
Philadelphia,22-Dec-93,,,Sony/TriStar,Original Screenplay,Drama,Contemporary Fiction,Jonathan Demme,74,7.6,53283
The Phantom,7-Jun-96,PG,100,Paramount Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Simon Wincer,43,4.8,9477
Pi,10-Jul-98,R,,Live Entertainment,Original Screenplay,Thriller/Suspense,Science Fiction,Darren Aronofsky,86,7.5,53699
Pink Flamingos,11-Apr-97,NC-17,,Fine Line,,,,John Waters,,5.8,7947
The Pirate,1948-01-01,,,,,,,Vincente Minnelli,71,7.1,1635
The Planet of the Apes,8-Feb-68,,,,,,,Franklin J. Schaffner,,,
The Player,10-Apr-92,R,,Fine Line,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Robert Altman,,7.7,24451
Apollo 13,30-Jun-95,PG,,Universal,Based on Book/Short Story,Drama,Dramatization,Ron Howard,,7.5,87605
Platoon,19-Dec-86,,,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Oliver Stone,86,8.2,108641
Panic,1-Dec-00,R,,Roxie Releasing,Original Screenplay,Drama,Contemporary Fiction,,92,2.7,473
The Adventures of Pinocchio,26-Jul-96,G,94,New Line,Based on Book/Short Story,Adventure,Fantasy,Steve Barron,27,5.3,1734
Pandora's Box,9-Aug-02,R,,Kino International,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,4.6,386
Pink Narcissus,24-Dec-99,Not Rated,,,,,,,,6,384
Penitentiary,10-May-80,,,,Original Screenplay,Drama,Contemporary Fiction,,,5.5,233
The Pursuit of D.B. Cooper,13-Nov-81,,,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Roger Spottiswoode,,5.8,442
Poetic Justice,23-Jul-93,,,Sony/Columbia,Original Screenplay,Drama,Contemporary Fiction,John Singleton,36,5.1,3689
Porky's,19-Mar-82,,,20th Century Fox,Original Screenplay,Comedy,Historical Fiction,,,5.8,15861
"Peace, Propaganda and the Promised Land",28-Jan-05,Not Rated,,Arab Film Distribution,Based on Real Life Events,Documentary,Factual,,,3,75
Popeye,12-Dec-80,,,Paramount Pictures,,,,Robert Altman,56,4.9,11433
Predator 2,21-Nov-90,,,20th Century Fox,Original Screenplay,Action,Science Fiction,Stephen Hopkins,23,6,35411
Predator,12-Jun-87,,,20th Century Fox,Original Screenplay,Action,Science Fiction,John McTiernan,76,7.8,88522
The Princess Bride,25-Sep-87,,,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Rob Reiner,95,8.1,123571
Prison,4-Mar-88,,,Empire Pictures,Original Screenplay,Horror,,Renny Harlin,,5.8,1154
LÃon,18-Nov-94,R,,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Luc Besson,,8.6,199762
Prophecy,15-Jun-79,,,,,,,John Frankenheimer,25,4.7,1381
The Prince of Tides,25-Dec-91,,,Sony/Columbia,Based on Book/Short Story,Drama,Contemporary Fiction,Barbra Streisand,74,6.4,6829
Proud,23-Sep-05,PG,,Castle Hill Productions,Based on Real Life Events,Drama,Dramatization,,,5.7,161
Pretty Woman,23-Mar-90,,,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Garry Marshall,62,6.7,60742
Partition,2-Feb-07,,,,Original Screenplay,Drama,Historical Fiction,,40,6.6,1275
The Postman Always Rings Twice,20-Mar-81,,,,,,,Bob Rafelson,70,6.4,6886
Peggy Sue Got Married,10-Oct-86,,,Sony/TriStar,Original Screenplay,Comedy,Fantasy,Francis Ford Coppola,88,6.3,12457
Peter Pan,5-Feb-53,PG,,RKO Radio Pictures,Based on Book/Short Story,Adventure,Fantasy,,83,7.1,16894
Pet Sematary,21-Apr-89,,,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,,50,6.3,19257
Patton,1-Jan-70,,,,,,,Franklin J. Schaffner,97,8.1,39570
The Puffy Chair,2-Jun-06,R,,IDP/Goldwyn/Roadside,,,,,,6.4,1701
Pulp Fiction,14-Oct-94,R,,Miramax,Original Screenplay,Drama,Contemporary Fiction,Quentin Tarantino,94,8.9,417703
Paint Your Wagon,15-Oct-69,PG-13,,Paramount Pictures,Based on Play,Musical,Historical Fiction,,23,6.5,5037
The Prisoner of Zenda,25-May-79,,,Universal,Based on Book/Short Story,Comedy,Contemporary Fiction,,,4.6,406
The Perez Family,12-May-95,R,,Goldwyn Entertainment,Based on Book/Short Story,Comedy,Historical Fiction,Mira Nair,67,6,1177
Q,19-Nov-82,,,United Film Distribution Co.,Original Screenplay,Horror,Fantasy,,,6.1,1899
The Quick and the Dead,10-Feb-95,R,,Sony Pictures,Original Screenplay,Western,Historical Fiction,Sam Raimi,56,6.3,27352
Quigley Down Under,19-Oct-90,,,MGM,Original Screenplay,Western,Historical Fiction,Simon Wincer,60,6.5,6001
La Guerre du feu,12-Feb-82,,,20th Century Fox,Based on Book/Short Story,Adventure,Historical Fiction,Jean-Jacques Annaud,,7.4,6198
Quo Vadis?,23-Feb-51,,,,,,,,88,5.8,898
Rang De Basanti,27-Jan-06,Not Rated,,UTV Communications,Original Screenplay,Drama,Contemporary Fiction,,,8.1,12116
Robin and Marian,11-Mar-76,,,,,,,,68,6.5,4800
Ransom,8-Nov-96,R,121,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Ron Howard,70,6.6,38524
Rosemary's Baby,12-Jun-68,,,,,,,Roman Polanski,98,8.1,50860
Rebecca,1940-01-01,,,MGM,Based on Book/Short Story,Drama,,Alfred Hitchcock,100,8.4,35429
Robin Hood: Prince of Thieves,14-Jun-91,PG-13,,Warner Bros.,Traditional/Legend/Fairytale,Adventure,Historical Fiction,Kevin Reynolds,56,6.7,54480
Rumble in the Bronx,23-Feb-96,R,100,New Line,Original Screenplay,Action,Contemporary Fiction,,,,
Rob Roy,7-Apr-95,R,,MGM,Based on Real Life Events,Drama,Dramatization,Michael Caton-Jones,71,6.8,15630
Raging Bull,14-Nov-80,Not Rated,,MGM,Based on Real Life Events,Drama,Dramatization,Martin Scorsese,98,8.4,90015
Richard III,29-Dec-95,R,,MGM,Based on Play,Drama,Historical Fiction,,95,7.5,6625
Raising Cain,7-Aug-92,,,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,53,5.7,5135
RoboCop,17-Jul-87,,,Orion Pictures,Original Screenplay,Action,Science Fiction,Paul Verhoeven,88,7.6,52898
RoboCop 3,5-Nov-93,,,Orion Pictures,Original Screenplay,Action,Science Fiction,,,3.4,13310
RiÂ¢hie RiÂ¢h,21-Dec-94,PG,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,25,4.7,12687
Radio Days,30-Jan-87,,,Orion Pictures,Original Screenplay,Comedy,Historical Fiction,Woody Allen,95,7.5,10839
Radio Flyer,21-Feb-92,,,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Richard Donner,43,6.5,6210
Reservoir Dogs,23-Oct-92,R,,Miramax,,,,Quentin Tarantino,96,8.4,212985
Raiders of the Lost Ark,12-Jun-81,PG,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,,8.7,242661
Red River,1948-01-01,,,,,,,Howard Hawks,100,7.8,10629
Reds,4-Dec-81,,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Warren Beatty,94,7.4,8455
Le Violon rouge,11-Jun-99,R,,Lionsgate,Original Screenplay,Drama,Historical Fiction,,,7.7,14545
Red Sonja,28-Jun-85,,,MGM,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,20,4.4,11896
Star Wars Ep. VI: Return of the Jedi,25-May-83,PG,,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Richard Marquand,,,
The Return,6-Feb-04,PG-13,,Kino International,,Drama,,,,2.3,236
The Rise and Fall of Miss Thang,14-Aug-08,Not Rated,87,Lavender House Films,Original Screenplay,Drama,Contemporary Fiction,,,,
Roger & Me,20-Dec-89,,,Warner Bros.,Based on Real Life Events,Documentary,Factual,Michael Moore,100,7.5,14883
The Right Stuff,21-Oct-83,,,Warner Bros.,Based on Book/Short Story,Action,Dramatization,Philip Kaufman,97,7.9,24275
The Rocky Horror Picture Show,26-Sep-75,,,20th Century Fox,,Musical,,,77,7.1,41265
Road House,19-May-89,,,United Artists,Original Screenplay,Action,Contemporary Fiction,,44,5.8,14085
Romeo Is Bleeding,4-Feb-94,R,,Gramercy,Original Screenplay,Drama,Contemporary Fiction,,24,6.3,6537
Rockaway,7-Jul-07,R,,Off-Hollywood Distribution,Original Screenplay,Drama,Contemporary Fiction,,,4.2,232
Rocky,21-Nov-76,,,MGM,,,,John G. Avildsen,,4,84
Return of the Living Dead Part II,15-Jan-88,,,Lorimar Motion Pictures,,Horror,Fantasy,,,5.1,4661
The R.M.,31-Jan-03,PG,,Halestone,Original Screenplay,Comedy,Contemporary Fiction,,64,5.5,449
Renaissance Man,3-Jun-94,PG-13,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Penny Marshall,,5.9,7650
Rambo: First Blood Part II,22-May-85,R,,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,George P. Cosmatos,30,5.8,38548
Rambo III,25-May-88,,,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,,36,4.9,31551
Romeo+Juliet,1-Nov-96,PG-13,120,20th Century Fox,Based on Play,Drama,Contemporary Fiction,Baz Luhrmann,,6.5,78
Ramanujan,31-Dec-07,,,,,,,Stephen Fry,,,
Rain Man,16-Dec-88,,,MGM,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,87,8,106163
Rapa Nui,11-Sep-94,,,,,,,Kevin Reynolds,,6.1,2081
Roar,1981-01-01,,,,,,,,,5.9,228
The Robe,16-Sep-53,,,,,,,,38,6.7,2913
The Rock,7-Jun-96,R,136,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,66,7.2,108324
The Remains of the Day,5-Nov-93,,,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,James Ivory,97,7.9,21736
Airplane!,4-Jul-80,,,,Original Screenplay,Comedy,,Jerry Zucker,98,7.8,57000
Repo Man,2-Mar-84,,,Universal,Original Screenplay,Comedy,Science Fiction,,97,6.7,12438
Rocket Singh: Salesman of the Year,11-Dec-09,,,Yash Raj Films,,,,,,7.5,1436
Raise the Titanic,1-Aug-80,PG,,,,,,,60,3.9,1757
Restoration,29-Dec-95,R,,Miramax,Based on Book/Short Story,Drama,Historical Fiction,,,6.5,4024
The Return of the Living Dead,16-Aug-85,,,Orion Pictures,,Horror,Science Fiction,,88,7.1,13621
Rejsen til Saturn,26-Sep-08,,,,Original Screenplay,Comedy,Science Fiction,,,5.9,849
Return to the Land of Wonders,13-Jul-05,Not Rated,,Arab Film Distribution,,Documentary,Factual,,,8.5,35
Return to Oz,21-Jun-85,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Fantasy,,55,6.7,7491
The Running Man,13-Nov-87,,,Sony/TriStar,Based on Book/Short Story,Action,Science Fiction,Paul Michael Glaser,63,6.4,36308
Run Lola Run,18-Jun-99,R,,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Tom Tykwer,,6,91
Revolution#9,15-Nov-02,,,,,Thriller/Suspense,,,,7.3,252
The River Wild,30-Sep-94,PG-13,,Universal,Original Screenplay,Action,Contemporary Fiction,Curtis Hanson,56,6.2,14285
Se7en,22-Sep-95,R,,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,,8.7,278918
Safe Men,7-Aug-98,R,,October Films,,,,,58,5.9,1743
Secrets & Lies,28-Sep-96,R,,October Films,Original Screenplay,Drama,Contemporary Fiction,Mike Leigh,94,7.9,14364
Sgt. Bilko,29-Mar-96,PG,93,Universal,Based on TV,Comedy,Contemporary Fiction,,33,5.2,9693
Sabrina,15-Dec-95,PG,,Paramount Pictures,Remake,Romantic Comedy,Contemporary Fiction,Sydney Pollack,61,6,15749
Subway,6-Nov-85,,,Island/Alive,Original Screenplay,Drama,Contemporary Fiction,Luc Besson,86,6.2,5904
School Daze,12-Feb-88,,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,58,5.3,2667
Scarface,9-Dec-83,Not Rated,,Universal,Remake,Drama,Historical Fiction,Brian De Palma,88,8.2,152262
Schindler's List,15-Dec-93,R,,Universal,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,97,8.9,276283
A Streetcar Named Desire,18-Sep-51,,,Warner Bros.,Based on Play,,,Elia Kazan,,8.1,33781
Shadow Conspiracy,31-Jan-97,R,,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,George P. Cosmatos,,4.7,2427
Short Cut to Nirvana: Kumbh Mela,22-Oct-04,Not Rated,,Mela Films,Based on Real Life Events,Documentary,Factual,,75,6.9,105
Spartacus,7-Oct-60,,,Universal,Based on Book/Short Story,Action,Dramatization,Stanley Kubrick,96,8,50856
Sunday,22-Aug-97,,,,,Drama,,,79,6.9,436
She Done Him Wrong,9-Feb-33,,,,,,,,100,6.7,1795
"Secret, The",7-Nov-06,Not Rated,,,,Documentary,,,,,
Sea Rex 3D: Journey to a Prehistoric World,,,,3D Entertainment,,,,,,,
State Fair,9-Mar-62,,,,,,,,14,5.7,436
Sticky Fingers of Time,8-Jan-99,,,Strand,,Thriller/Suspense,,,,,
Stargate - The Ark of Truth,11-Mar-08,,,,Based on TV,Action,Science Fiction,,,,
She's Gotta Have It,8-Aug-86,,,Island,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,93,6.2,2594
Stargate,28-Oct-94,PG-13,,MGM,Original Screenplay,Action,Science Fiction,Roland Emmerich,46,6.7,47174
The Shadow,1-Jul-94,PG-13,,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Russell Mulcahy,34,5.6,9530
Show Boat,24-Sep-51,,,,,,,,89,6.9,1788
Shadowlands,29-Dec-93,R,,Savoy,Based on Play,Drama,Dramatization,Sir Richard Attenborough,96,7.4,7689
Shanghai Surprise,29-Aug-86,,,MGM,,,,,14,2.6,2591
Shalako,1968-01-01,,,,,,,,,5.3,1090
Sheena,17-Aug-84,,,Sony/Columbia,Based on Comic/Graphic Novel,Adventure,Contemporary Fiction,John Guillermin,38,4.3,1598
Shine,22-Nov-96,PG-13,105,Fine Line,Based on Real Life Events,Drama,Dramatization,Scott Hicks,90,7.6,22439
The Shining,23-May-80,,,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Stanley Kubrick,87,8.5,177762
Haakon Haakonsen,1-Mar-91,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,,,6.4,1125
Ishtar,15-May-87,,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,19,3.7,6094
Showgirls,22-Sep-95,NC-17,,MGM,Original Screenplay,Drama,Contemporary Fiction,Paul Verhoeven,12,4.1,27004
The Shawshank Redemption,23-Sep-94,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Frank Darabont,88,9.2,519541
Silver Bullet,11-Oct-85,,,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,,50,5.9,6387
Side Effects,9-Sep-05,R,,Sky Island,Original Screenplay,Romantic Comedy,,,11,,
Set It Off,6-Nov-96,R,120,New Line,Original Screenplay,Drama,Contemporary Fiction,F. Gary Gray,61,6.3,4570
The Silence of the Lambs,14-Feb-91,,,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Jonathan Demme,96,8.7,244856
Silver Medalist,29-Feb-08,,,,Original Screenplay,Black Comedy,Contemporary Fiction,,,,
Silent Trigger,26-Jun-96,,,,,,,Russell Mulcahy,,5.2,1364
